LineNo,UTC_Approx,TimeUS,CTot,CNum,CId,Prm1,Prm2,Prm3,Prm4,Lat,Lng,Alt,Frame
1776,2023-01-20 10:49:56.677840,116679352,69,0,16,0,0,0,0,39.8043837,32.378803,734.25,0
1777,2023-01-20 10:49:56.677884,116679396,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
1778,2023-01-20 10:49:56.677913,116679425,69,2,206,15.12,0,1,0,0,0,0,0
1779,2023-01-20 10:49:56.677942,116679454,69,3,16,0,0,0,0,39.805184,32.3834901,54.92,3
1780,2023-01-20 10:49:56.677971,116679483,69,4,206,15.12,0,1,0,0,0,0,0
1781,2023-01-20 10:49:56.678000,116679512,69,5,16,0,0,0,0,39.799844,32.3794768,54.92,3
1782,2023-01-20 10:49:56.678041,116679554,69,6,16,0,0,0,0,39.7997661,32.3794183,54.92,3
1783,2023-01-20 10:49:56.678073,116679586,69,7,16,0,0,0,0,39.7999107,32.3791182,54.92,3
1784,2023-01-20 10:49:56.680462,116681984,69,8,16,0,0,0,0,39.7999886,32.3791767,54.92,3
1785,2023-01-20 10:49:56.680491,116682013,69,9,206,15.12,0,1,0,0,0,0,0
1786,2023-01-20 10:49:56.680520,116682042,69,10,16,0,0,0,0,39.8053054,32.3831725,54.92,3
1787,2023-01-20 10:49:56.680554,116682076,69,11,16,0,0,0,0,39.8053833,32.3832311,54.92,3
1788,2023-01-20 10:49:56.680583,116682105,69,12,16,0,0,0,0,39.8055047,32.3829135,54.92,3
1789,2023-01-20 10:49:56.680612,116682134,69,13,16,0,0,0,0,39.8054268,32.382855,54.92,3
1790,2023-01-20 10:49:56.680691,116682213,69,14,206,15.12,0,1,0,0,0,0,0
1792,2023-01-20 10:49:56.682926,116684457,69,15,16,0,0,0,0,39.8001331,32.3788766,54.92,3
1793,2023-01-20 10:49:56.682956,116684487,69,16,16,0,0,0,0,39.8000552,32.3788181,54.92,3
1794,2023-01-20 10:49:56.682985,116684516,69,17,16,0,0,0,0,39.8001998,32.378518,54.92,3
1795,2023-01-20 10:49:56.683014,116684545,69,18,16,0,0,0,0,39.8002777,32.3785765,54.92,3
1796,2023-01-20 10:49:56.683055,116684586,69,19,206,15.12,0,1,0,0,0,0,0
1797,2023-01-20 10:49:56.683084,116684616,69,20,16,0,0,0,0,39.8055482,32.3825375,54.92,3
1798,2023-01-20 10:49:56.683113,116684645,69,21,16,0,0,0,0,39.8056261,32.382596,54.92,3
1799,2023-01-20 10:49:56.683142,116684674,69,22,16,0,0,0,0,39.8057475,32.3822785,54.92,3
1800,2023-01-20 10:49:56.685686,116687227,69,23,16,0,0,0,0,39.8056696,32.38222,54.92,3
1801,2023-01-20 10:49:56.685715,116687256,69,24,206,15.12,0,1,0,0,0,0,0
1802,2023-01-20 10:49:56.685745,116687286,69,25,16,0,0,0,0,39.8004222,32.3782764,54.92,3
1803,2023-01-20 10:49:56.685773,116687315,69,26,16,0,0,0,0,39.8003444,32.3782179,54.92,3
1804,2023-01-20 10:49:56.685802,116687344,69,27,16,0,0,0,0,39.8004889,32.3779178,54.92,3
1805,2023-01-20 10:49:56.685832,116687374,69,28,16,0,0,0,0,39.8005668,32.3779763,54.92,3
1806,2023-01-20 10:49:56.685864,116687406,69,29,206,15.12,0,1,0,0,0,0,0
1807,2023-01-20 10:49:56.687804,116689353,69,30,16,0,0,0,0,39.805791,32.3819024,54.92,3
1808,2023-01-20 10:49:56.687838,116689387,69,31,16,0,0,0,0,39.8058689,32.381961,54.92,3
1809,2023-01-20 10:49:56.687866,116689416,69,32,16,0,0,0,0,39.8059903,32.3816434,54.92,3
1810,2023-01-20 10:49:56.687896,116689445,69,33,16,0,0,0,0,39.8059124,32.3815849,54.92,3
1811,2023-01-20 10:49:56.687927,116689477,69,34,206,15.12,0,1,0,0,0,0,0
1812,2023-01-20 10:49:56.687971,116689521,69,35,16,0,0,0,0,39.8007114,32.3776762,54.92,3
1813,2023-01-20 10:49:56.688000,116689550,69,36,16,0,0,0,0,39.8006335,32.3776177,54.92,3
1814,2023-01-20 10:49:56.688030,116689580,69,37,16,0,0,0,0,39.800778,32.3773176,54.92,3
1815,2023-01-20 10:49:56.690312,116691871,69,38,16,0,0,0,0,39.8008559,32.3773761,54.92,3
1816,2023-01-20 10:49:56.690351,116691910,69,39,206,15.12,0,1,0,0,0,0,0
1817,2023-01-20 10:49:56.690384,116691943,69,40,16,0,0,0,0,39.8060338,32.3812674,54.92,3
1818,2023-01-20 10:49:56.690413,116691972,69,41,16,0,0,0,0,39.8061117,32.3813259,54.92,3
1819,2023-01-20 10:49:56.690443,116692002,69,42,16,0,0,0,0,39.8062331,32.3810084,54.92,3
1820,2023-01-20 10:49:56.690472,116692031,69,43,16,0,0,0,0,39.8061552,32.3809498,54.92,3
1821,2023-01-20 10:49:56.690501,116692060,69,44,206,15.12,0,1,0,0,0,0,0
1822,2023-01-20 10:49:56.690530,116692089,69,45,16,0,0,0,0,39.8010005,32.377076,54.92,3
1823,2023-01-20 10:49:56.692839,116694407,69,46,16,0,0,0,0,39.8009226,32.3770174,54.92,3
1824,2023-01-20 10:49:56.692872,116694440,69,47,16,0,0,0,0,39.8010671,32.3767173,54.92,3
1825,2023-01-20 10:49:56.692901,116694469,69,48,16,0,0,0,0,39.801145,32.3767759,54.92,3
1826,2023-01-20 10:49:56.692930,116694498,69,49,206,15.12,0,1,0,0,0,0,0
1827,2023-01-20 10:49:56.692958,116694527,69,50,16,0,0,0,0,39.8062766,32.3806323,54.92,3
1828,2023-01-20 10:49:56.692988,116694557,69,51,16,0,0,0,0,39.8063545,32.3806908,54.92,3
1829,2023-01-20 10:49:56.693017,116694586,69,52,16,0,0,0,0,39.8064759,32.3803733,54.92,3
1830,2023-01-20 10:49:56.693069,116694638,69,53,16,0,0,0,0,39.806398,32.3803147,54.92,3
1831,2023-01-20 10:49:56.695311,116696888,69,54,206,15.12,0,1,0,0,0,0,0
1832,2023-01-20 10:49:56.695339,116696917,69,55,16,0,0,0,0,39.8012896,32.3764757,54.92,3
1833,2023-01-20 10:49:56.695368,116696946,69,56,16,0,0,0,0,39.8012117,32.3764172,54.92,3
1834,2023-01-20 10:49:56.695402,116696980,69,57,16,0,0,0,0,39.8013562,32.3761171,54.92,3
1835,2023-01-20 10:49:56.695431,116697009,69,58,16,0,0,0,0,39.8014341,32.3761756,54.92,3
1836,2023-01-20 10:49:56.695460,116697038,69,59,206,15.12,0,1,0,0,0,0,0
1837,2023-01-20 10:49:56.695489,116697067,69,60,16,0,0,0,0,39.8065194,32.3799972,54.92,3
1838,2023-01-20 10:49:56.695519,116697097,69,61,16,0,0,0,0,39.8065973,32.3800557,54.92,3
1839,2023-01-20 10:49:56.695548,116697126,69,62,16,0,0,0,0,39.8067187,32.3797382,54.92,3
1840,2023-01-20 10:49:56.698308,116699897,69,63,16,0,0,0,0,39.8066408,32.3796797,54.92,3
1841,2023-01-20 10:49:56.698337,116699926,69,64,206,15.12,0,1,0,0,0,0,0
1842,2023-01-20 10:49:56.698366,116699955,69,65,16,0,0,0,0,39.8055978,32.3788958,54.92,3
1843,2023-01-20 10:49:56.698396,116699985,69,66,16,0,0,0,0,39.8055199,32.3788372,54.92,3
1844,2023-01-20 10:49:56.698425,116700014,69,67,206,0,0,1,0,0,0,0,0
1845,2023-01-20 10:49:56.698457,116700046,69,68,20,0,0,0,0,0,0,0,0
9966,2023-01-20 10:50:20.276959,140324752,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
14709,2023-01-20 10:50:34.891955,154959826,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
30847,2023-01-20 10:51:24.137147,204304879,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
33942,2023-01-20 10:51:33.699597,213887332,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
35193,2023-01-20 10:51:37.589592,217797357,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
35751,2023-01-20 10:51:39.437196,219644859,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
37561,2023-01-20 10:51:45.019915,225227586,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
39802,2023-01-20 10:51:51.881904,232110023,69,3,16,0,0,0,0,39.805184,32.3834901,54.92,3
41012,2023-01-20 10:51:55.614862,235862519,69,5,16,0,0,0,0,39.799844,32.3794768,54.92,3
74099,2023-01-20 10:53:35.697093,336144912,69,6,16,0,0,0,0,39.7997661,32.3794183,54.92,3
75304,2023-01-20 10:53:39.329789,339777610,69,7,16,0,0,0,0,39.7999107,32.3791182,54.92,3
77555,2023-01-20 10:53:46.262050,346729895,69,8,16,0,0,0,0,39.7999886,32.3791767,54.92,3
78759,2023-01-20 10:53:49.956954,350440334,69,10,16,0,0,0,0,39.8053054,32.3831725,54.92,3
111656,2023-01-20 10:55:29.403246,450091067,69,11,16,0,0,0,0,39.8053833,32.3832311,54.92,3
112831,2023-01-20 10:55:33.037061,453724914,69,12,16,0,0,0,0,39.8055047,32.3829135,54.92,3
115058,2023-01-20 10:55:39.707549,460415358,69,13,16,0,0,0,0,39.8054268,32.382855,54.92,3
116236,2023-01-20 10:55:43.349481,464057528,69,15,16,0,0,0,0,39.8001331,32.3788766,54.92,3
148986,2023-01-20 10:57:22.501638,563419352,69,16,16,0,0,0,0,39.8000552,32.3788181,54.92,3
150209,2023-01-20 10:57:26.114594,567051896,69,17,16,0,0,0,0,39.8001998,32.378518,54.92,3
152486,2023-01-20 10:57:33.052009,573989353,69,18,16,0,0,0,0,39.8002777,32.3785765,54.92,3
153694,2023-01-20 10:57:36.772424,577729802,69,20,16,0,0,0,0,39.8055482,32.3825375,54.92,3
186296,2023-01-20 10:59:15.382054,676539391,69,21,16,0,0,0,0,39.8056261,32.382596,54.92,3
187502,2023-01-20 10:59:19.014411,680171840,69,22,16,0,0,0,0,39.8057475,32.3822785,54.92,3
189683,2023-01-20 10:59:25.717034,686894344,69,23,16,0,0,0,0,39.8056696,32.38222,54.92,3
190857,2023-01-20 10:59:29.355274,690537012,69,25,16,0,0,0,0,39.8004222,32.3782764,54.92,3
223362,2023-01-20 11:01:07.604651,789002908,69,26,16,0,0,0,0,39.8003444,32.3782179,54.92,3
224537,2023-01-20 11:01:11.234576,792632898,69,27,16,0,0,0,0,39.8004889,32.3779178,54.92,3
226783,2023-01-20 11:01:18.139142,799557882,69,28,16,0,0,0,0,39.8005668,32.3779763,54.92,3
227991,2023-01-20 11:01:21.831745,803250524,69,30,16,0,0,0,0,39.805791,32.3819024,54.92,3
260332,2023-01-20 11:02:59.569167,901187899,69,31,16,0,0,0,0,39.8058689,32.381961,54.92,3
261505,2023-01-20 11:03:03.184606,904822864,69,32,16,0,0,0,0,39.8059903,32.3816434,54.92,3
263685,2023-01-20 11:03:09.897019,911535399,69,33,16,0,0,0,0,39.8059124,32.3815849,54.92,3
264891,2023-01-20 11:03:13.532154,915190535,69,35,16,0,0,0,0,39.8007114,32.3776762,54.92,3
